year	age	male	female
1920	0	945	932
1920	1	700	693
1920	2	697	691
1920	3	700	691
1920	4	711	697
1920	5	693	680
1920	6	711	693
1920	7	700	682
1920	8	696	681
1920	9	667	653
1920	10	648	635
1920	11	653	637
1920	12	633	617
1920	13	612	598
1920	14	544	526
1920	15	548	534
1920	16	543	527
1920	17	562	546
1920	18	553	539
1920	19	543	525
1920	20	508	495
1920	21	455	461
1920	22	465	474
1920	23	448	435
1920	24	441	428
1920	25	438	417
1920	26	417	398
1920	27	397	378
1920	28	397	379
1920	29	358	345
1920	30	378	361
1920	31	394	380
1920	32	378	364
1920	33	360	353
1920	34	324	318
1920	35	340	335
1920	36	343	342
1920	37	340	342
1920	38	339	337
1920	39	346	347
1920	40	325	319
1920	41	339	332
1920	42	330	319
1920	43	318	311
1920	44	328	322
1920	45	295	289
1920	46	284	281
1920	47	276	273
1920	48	256	250
1920	49	229	225
1920	50	212	209
1920	51	225	224
1920	52	255	254
1920	53	217	213
1920	54	213	213
1920	55	229	230
1920	56	212	212
1920	57	167	169
1920	58	158	163
1920	59	146	154
1920	60	166	172
1920	61	161	170
1920	62	164	172
1920	63	163	175
1920	64	149	164
1920	65	142	157
1920	66	138	154
1920	67	122	140
1920	68	117	133
1920	69	95	114
1920	70	95	115
1920	71	95	117
1920	72	82	103
1920	73	66	86
1920	74	61	75
1920	75	56	77
1920	76	46	65
1920	77	40	57
1920	78	30	43
1920	79	27	42
1920	80	21	33
1920	81	16	26
1920	82	12	20
1920	83	8	15
1920	84	8	14
1920	85	25	51
1921	0	895	872
1921	1	873	865
1921	2	679	673
1921	3	684	678
1921	4	691	680
1921	5	703	689
1921	6	688	674
1921	7	708	689
1921	8	699	680
1921	9	694	680
1921	10	664	651
1921	11	645	633
1921	12	650	635
1921	13	630	614
1921	14	609	593
1921	15	540	520
1921	16	544	529
1921	17	538	519
1921	18	556	538
1921	19	547	531
1921	20	537	516
1921	21	479	488
1921	22	460	454
1921	23	465	465
1921	24	447	428
1921	25	439	422
1921	26	434	410
1921	27	413	391
1921	28	393	373
1921	29	394	375
1921	30	355	340
1921	31	375	357
1921	32	390	376
1921	33	374	359
1921	34	357	348
1921	35	322	315
1921	36	337	330
1921	37	340	337
1921	38	336	337
1921	39	335	333
1921	40	343	343
1921	41	322	316
1921	42	335	328
1921	43	326	316
1921	44	314	308
1921	45	324	318
1921	46	291	286
1921	47	280	277
1921	48	271	269
1921	49	251	247
1921	50	225	222
1921	51	208	206
1921	52	220	220
1921	53	249	250
1921	54	211	208
1921	55	207	208
1921	56	222	226
1921	57	206	208
1921	58	161	165
1921	59	152	159
1921	60	141	150
1921	61	159	166
1921	62	154	164
1921	63	155	166
1921	64	155	169
1921	65	141	158
1921	66	134	150
1921	67	129	147
1921	68	114	133
1921	69	108	126
1921	70	88	107
1921	71	87	107
1921	72	86	109
1921	73	74	96
1921	74	59	79
1921	75	54	69
1921	76	48	69
1921	77	39	58
1921	78	34	50
1921	79	25	38
1921	80	22	36
1921	81	17	28
1921	82	13	22
1921	83	9	16
1921	84	6	12
1921	85	23	50
1922	0	909	893
1922	1	823	810
1922	2	839	831
1922	3	668	662
1922	4	676	670
1922	5	684	673
1922	6	698	683
1922	7	684	669
1922	8	705	686
1922	9	697	679
1922	10	692	678
1922	11	661	648
1922	12	643	630
1922	13	648	633
1922	14	627	609
1922	15	605	588
1922	16	536	513
1922	17	539	523
1922	18	533	510
1922	19	548	529
1922	20	541	523
1922	21	515	508
1922	22	488	481
1922	23	470	446
1922	24	466	458
1922	25	447	422
1922	26	437	417
1922	27	431	404
1922	28	410	385
1922	29	390	368
1922	30	391	371
1922	31	352	336
1922	32	373	354
1922	33	387	371
1922	34	372	354
1922	35	354	344
1922	36	320	312
1922	37	333	326
1922	38	336	333
1922	39	332	333
1922	40	332	329
1922	41	340	338
1922	42	319	313
1922	43	330	324
1922	44	322	312
1922	45	309	304
1922	46	319	314
1922	47	286	282
1922	48	275	273
1922	49	266	266
1922	50	247	244
1922	51	220	219
1922	52	204	203
1922	53	215	217
1922	54	243	246
1922	55	204	203
1922	56	201	203
1922	57	215	220
1922	58	199	203
1922	59	155	161
1922	60	146	155
1922	61	135	145
1922	62	151	161
1922	63	146	158
1922	64	147	160
1922	65	145	161
1922	66	133	151
1922	67	125	143
1922	68	119	140
1922	69	104	125
1922	70	98	118
1922	71	79	100
1922	72	78	100
1922	73	76	100
1922	74	65	87
1922	75	51	71
1922	76	46	61
1922	77	41	61
1922	78	33	51
1922	79	28	44
1922	80	20	33
1922	81	18	30
1922	82	14	23
1922	83	10	18
1922	84	7	13
1922	85	21	46
1923	0	911	895
1923	1	842	832
1923	2	791	778
1923	3	822	812
1923	4	662	655
1923	5	671	664
1923	6	680	668
1923	7	694	678
1923	8	681	666
1923	9	703	683
1923	10	696	677
1923	11	691	676
1923	12	658	645
1923	13	640	627
1923	14	644	631
1923	15	621	604
1923	16	600	582
1923	17	531	506
1923	18	533	518
1923	19	527	501
1923	20	541	521
1923	21	520	514
1923	22	515	500
1923	23	487	474
1923	24	465	439
1923	25	464	450
1923	26	442	416
1923	27	432	412
1923	28	426	398
1923	29	405	378
1923	30	386	363
1923	31	388	367
1923	32	349	332
